,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Grid Electricity Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Capital gains taxes payable,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00010278531632213876
15,Financing cash outflow,Desalination,0.0008794442300652222
16,Operating Expenses,Desalination Fixed O&M Cost,0.0038828262154913433
17,Operating Expenses,Water,0.007678100263852242
18,Financing cash outflow,Compression,0.008777454674269722
19,Operating Expenses,Cash on hand reserve,0.02477477173438472
20,Financing cash outflow,Hydrogen Storage,0.05971061736345381
21,Operating Expenses,Property insurance,0.06401525651716268
22,Operating Expenses,Var O&M,0.07265200596102123
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.09020562089166806
24,Financing cash outflow,Solar Plant,0.19200910732655055
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.19576902487979836
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.457175930480384
27,Financing cash outflow,Wind Plant,0.6835062368046235
28,Financing cash outflow,Electrolysis system,0.9652166555749422
29,Financing cash outflow,Repayment of debt,1.1391377354493124
30,Financing cash outflow,Dividends paid,1.3094311966548404
31,Financing cash outflow,Interest expense,1.4107048623429619
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.013225023458211397
36,Operating Revenue,Cash on hand recovery,0.024774771734384717
37,Financing cash inflow,One time capital incentive,0.12585986234500215
38,Operating Revenue,Hydrogen sales,0.4690362784761231
39,Financing cash inflow,Inflow of debt,1.1391377354493124
40,Financing cash inflow,Inflow of equity,2.428702621524408
41,Financing cash inflow,Monetized tax losses,2.4848933396936634
