,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.0001373221011942827
16,Financing cash outflow,Desalination,0.0009096351103912285
17,Operating Expenses,Desalination Fixed O&M Cost,0.004016121696422391
18,Operating Expenses,Water,0.012612137203166231
19,Operating Expenses,Cash on hand reserve,0.013432409781753613
20,Financing cash outflow,Compression,0.020565357874855774
21,Financing cash outflow,Hydrogen Storage,0.0388291790585331
22,Operating Expenses,Var O&M,0.0745084072602703
23,Operating Expenses,Property insurance,0.11228797893391729
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2024896775370415
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5662097833746952
26,Financing cash outflow,Repayment of debt,0.7079996414739271
27,Financing cash outflow,Wind Plant,0.8398702809418023
28,Financing cash outflow,Income taxes payable,1.0855916335042584
29,Financing cash outflow,Interest expense,1.6237424153977953
30,Financing cash outflow,Electrolysis system,2.491127131757839
31,Financing cash outflow,Dividends paid,4.344510919663186
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.013432409781753613
37,Operating Revenue,Sale of non-depreciable assets,0.023847227269748337
38,Financing cash inflow,Monetized tax losses,0.16895354743806898
39,Financing cash inflow,Inflow of debt,0.7079996414739272
40,Financing cash inflow,Inflow of equity,1.7000064802197032
41,Operating Revenue,Hydrogen sales,9.524600726487847
