,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00011293778344849314
17,Financing cash outflow,Desalination,0.0008601488300287937
18,Operating Expenses,Desalination Fixed O&M Cost,0.0037976352704165404
19,Operating Expenses,Water,0.0076781002638522415
20,Financing cash outflow,Compression,0.020437221292839317
21,Operating Expenses,Cash on hand reserve,0.03421096437357701
22,Operating Expenses,Var O&M,0.06748508865922823
23,Operating Expenses,Property insurance,0.11607888204460988
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20122802503718712
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.47218756723283467
26,Financing cash outflow,Electrolysis system,0.6827455097015407
27,Financing cash outflow,Wind Plant,0.8473783388118782
28,Financing cash outflow,Repayment of debt,1.3787122161538545
29,Financing cash outflow,Hydrogen Storage,1.907102060909721
30,Financing cash outflow,Interest expense,2.0586587779145558
31,Financing cash outflow,Dividends paid,2.074424869823863
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.004401160644386531
36,Operating Revenue,Cash on hand recovery,0.034210964373577006
37,Financing cash inflow,One time capital incentive,0.9535510304548604
38,Financing cash inflow,Inflow of debt,1.3787122161538548
39,Operating Revenue,Hydrogen sales,2.048372523597866
40,Financing cash inflow,Inflow of equity,2.707972747241577
41,Financing cash inflow,Monetized tax losses,2.745877701637314
