,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.0001034137053294645
16,Operating Expenses,Desalination,0.0007604531719837144
17,Operating Expenses,Desalination Fixed O&M Cost,0.003357469878007991
18,Operating Expenses,Cash on hand reserve,0.016126542968987884
19,Operating Expenses,Water,0.01672823218997362
20,Operating Expenses,Compression,0.018068442595164037
21,Operating Expenses,Var O&M,0.06748173920435094
22,Operating Expenses,Hydrogen Storage,0.08961402099217411
23,Operating Expenses,Property insurance,0.0981591495932704
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.17790466555238435
25,Financing cash outflow,Income taxes payable,0.6961881620381032
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.7084136444326412
27,Operating Expenses,Wind Plant,0.8577845834137873
28,Financing cash outflow,Repayment of debt,1.0435952895510336
29,Financing cash outflow,Interest expense,1.6840497187485033
30,Operating Expenses,Electrolysis system,1.958708188950113
31,Financing cash outflow,Dividends paid,2.795484743214494
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001034137053294645
37,Operating Revenue,Cash on hand recovery,0.01612654296898789
38,Financing cash inflow,Monetized tax losses,0.3200278173359815
39,Financing cash inflow,Inflow of debt,1.0435952895510336
40,Financing cash inflow,Inflow of equity,1.7784586260569033
41,Operating Revenue,Hydrogen sales,7.061914416169764
