,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,9.578761081294754e-05
16,Operating Expenses,Desalination,0.0006037496998574613
17,Operating Expenses,Desalination Fixed O&M Cost,0.0026656098045327137
18,Operating Expenses,Cash on hand reserve,0.013759444139458794
19,Operating Expenses,Compression,0.014345152595347023
20,Operating Expenses,Water,0.021398416886543536
21,Operating Expenses,Hydrogen Storage,0.04053385581984788
22,Operating Expenses,Var O&M,0.06910141550225139
23,Operating Expenses,Property insurance,0.08494836824832348
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.14124457940033996
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.56014742868211
26,Financing cash outflow,Income taxes payable,0.5616913484549139
27,Operating Expenses,Wind Plant,0.6072477970205887
28,Financing cash outflow,Repayment of debt,0.8867471435307245
29,Financing cash outflow,Interest expense,1.3890938327772835
30,Operating Expenses,Electrolysis system,1.8685212601689114
31,Financing cash outflow,Dividends paid,2.329724077180014
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,9.578761081294754e-05
37,Operating Revenue,Cash on hand recovery,0.013759444139458796
38,Financing cash inflow,Monetized tax losses,0.257188582869535
39,Financing cash inflow,Inflow of debt,0.8867471435307245
40,Financing cash inflow,Inflow of equity,1.506438822078807
41,Operating Revenue,Hydrogen sales,5.915903583547805
