,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010482571927950832
14,Financing cash outflow,Desalination,0.0007233082073352723
15,Operating Expenses,Desalination Fixed O&M Cost,0.0031934714826807806
16,Operating Expenses,Cash on hand reserve,0.008227757066634766
17,Operating Expenses,Water,0.008292914934426389
18,Financing cash outflow,Compression,0.00898690556919771
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.022642355364373794
20,Operating Expenses,Property insurance,0.044043679231129604
21,Financing cash outflow,Solar Plant,0.05252397490219044
22,Operating Expenses,Var O&M,0.07393779787497136
23,Financing cash outflow,Hydrogen Storage,0.10964774790177577
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1610123048133248
25,Financing cash outflow,Income taxes payable,0.2849732879590714
26,Financing cash outflow,Electrolysis system,0.3301788888984799
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.4916832752084499
28,Financing cash outflow,Repayment of debt,0.794793439593195
29,Financing cash outflow,Wind Plant,0.8104715375083517
30,Financing cash outflow,Interest expense,1.1748143532953466
31,Financing cash outflow,Dividends paid,1.312327743692297
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0045936479795712125
37,Operating Revenue,Cash on hand recovery,0.008227757066634766
38,Financing cash inflow,Monetized tax losses,0.23667922427221666
39,Financing cash inflow,Inflow of debt,0.794793439593195
40,Financing cash inflow,Inflow of equity,1.1729991823330974
41,Operating Revenue,Hydrogen sales,3.4752863179777966
