,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010167705041281063
14,Financing cash outflow,Desalination,0.000926088331642846
15,Operating Expenses,Desalination Fixed O&M Cost,0.004088764163813782
16,Operating Expenses,Water,0.01282409525942225
17,Financing cash outflow,Compression,0.014893351605090324
18,Operating Expenses,Cash on hand reserve,0.015490981706383349
19,Operating Expenses,Var O&M,0.07188696372415926
20,Operating Expenses,Property insurance,0.09044445034095772
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.1464149525944473
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20615225325298178
23,Financing cash outflow,Solar Plant,0.29120307238228965
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.3210001420680664
25,Financing cash outflow,Wind Plant,0.5196083648886193
26,Financing cash outflow,Hydrogen Storage,0.8377836066029022
27,Financing cash outflow,Income taxes payable,0.866952939382614
28,Financing cash outflow,Electrolysis system,1.0336883896836089
29,Financing cash outflow,Repayment of debt,1.2814800738119911
30,Financing cash outflow,Interest expense,1.9776965662038934
31,Financing cash outflow,Dividends paid,3.674671691110944
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.014154796767723663
37,Operating Revenue,Cash on hand recovery,0.015490981706383349
38,Financing cash inflow,Monetized tax losses,0.34066770284511094
39,Financing cash inflow,Inflow of debt,1.2814800738119911
40,Financing cash inflow,Inflow of equity,2.156336739080057
41,Operating Revenue,Hydrogen sales,7.559178129952974
