,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00011293778344849314
17,Financing cash outflow,Desalination,0.0008601488300287937
18,Operating Expenses,Desalination Fixed O&M Cost,0.0037976352704165404
19,Operating Expenses,Water,0.0076781002638522415
20,Financing cash outflow,Compression,0.020437221292839317
21,Operating Expenses,Cash on hand reserve,0.03592875008527606
22,Operating Expenses,Var O&M,0.06748508865922823
23,Operating Expenses,Property insurance,0.12645749307446166
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20122802503718712
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5144157236520313
26,Financing cash outflow,Electrolysis system,0.8809493122884482
27,Financing cash outflow,Wind Plant,0.9585791507157627
28,Financing cash outflow,Repayment of debt,1.4903657287982184
29,Financing cash outflow,Hydrogen Storage,1.907102060909721
30,Financing cash outflow,Dividends paid,2.208436560761753
31,Financing cash outflow,Interest expense,2.240703937011371
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00564604920871562
36,Operating Revenue,Cash on hand recovery,0.03592875008527606
37,Financing cash inflow,One time capital incentive,0.9535510304548604
38,Financing cash inflow,Inflow of debt,1.4903657287982184
39,Financing cash inflow,Monetized tax losses,2.7053267476837775
40,Financing cash inflow,Inflow of equity,2.7323466737865756
41,Operating Revenue,Hydrogen sales,2.741372894416621
