,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Wind Plant,0.0
2,Financing cash outflow,Hydrogen Storage,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
7,Operating Expenses,Licensing and Permitting,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Administrative expenses,0.0
10,Operating Expenses,Labor,0.0
11,Operating Expenses,Total annual maintenance,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Sales tax,0.0
14,Operating Expenses,Credit card fees,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Installation cost,0.0
17,Operating Expenses,Non-depreciable assets,0.00011370738844397688
18,Financing cash outflow,Desalination,0.0003583490655106063
19,Financing cash outflow,Income taxes payable,0.0006793677562803087
20,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
21,Operating Expenses,Property insurance,0.007946564120546708
22,Financing cash outflow,Compression,0.008514409246684989
23,Operating Expenses,Water,0.01187335092348285
24,Operating Expenses,Cash on hand reserve,0.03329546300361951
25,Operating Expenses,Var O&M,0.07110411790168084
26,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
27,Financing cash outflow,Repayment of debt,0.14009809693774694
28,Financing cash outflow,Interest expense,0.1796351407049928
29,Financing cash outflow,Electrolysis system,0.22645594903186603
30,Financing cash outflow,Dividends paid,0.3458751753094367
31,Operating Expenses,Grid Electricity Cost,8.309319140185233
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370738844386843
37,Operating Revenue,Cash on hand recovery,0.033295463003619505
38,Financing cash inflow,Inflow of debt,0.14009809693774694
39,Financing cash inflow,Inflow of equity,0.549419645291574
40,Financing cash inflow,Monetized tax losses,0.8339538064254729
41,Operating Revenue,Hydrogen sales,7.8638044395780975
